id,trait,nIV,method,mean_F,min_F,b,se,OR,OR_L,OR_U,p,FDR
ebi-a-GCST90002094,CD11b on Monocytic Myeloid-Derived Suppressor Cells,1,Wald,145.030048621552,145.030048621552,-0.0693091106290673,0.0289006507592191,0.933038223465797,0.881655061576937,0.987416013799226,0.0164765358317811,0.355532605188649
ebi-a-GCST90001525,CD33dim HLA DR+ CD11b+ Absolute Count,1,Wald,56.5846439867803,56.5846439867803,-0.122092090179595,0.0509102025219717,0.885066858783583,0.801014614211002,0.977938892274308,0.0164765358317811,0.355532605188649
ebi-a-GCST90001799,CD27 on T cell,1,Wald,89.146597228768,89.146597228768,0.102671915167095,0.0428123393316195,1.10812778950958,1.01893679933743,1.20512596922779,0.0164765358317811,0.355532605188649
ebi-a-GCST90001998,PDL-1 on CD14+ CD16+ monocyte,1,Wald,30.3674919132957,30.3674919132957,-0.220964730290456,0.0921383125864454,0.8017449571033,0.669277957580321,0.960430519129161,0.0164765358317811,0.355532605188649
ebi-a-GCST90002021,CD14 on CD33dim HLA DR+ CD11b+,1,Wald,79.1528328565158,79.1528328565158,0.0945590411364309,0.0394294169872744,1.09917405770275,1.01742750113609,1.18748864934123,0.0164765358317811,0.355532605188649
ebi-a-GCST90002091,CD11b on CD14+ monocyte,1,Wald,295.011118149689,295.011118149689,-0.0512043269230769,0.0213512820512821,0.950084522851086,0.911145354337246,0.990687815357143,0.0164765358317811,0.355532605188649
ebi-a-GCST90002012,CX3CR1 on CD14- CD16+ monocyte,1,Wald,84.4220873420253,84.4220873420253,0.133800251256281,0.0557922948073702,1.14316445117426,1.02474864018996,1.27526391465746,0.0164765358317811,0.355532605188649
ebi-a-GCST90002097,CD11b on CD33+ HLA DR+ CD14dim,1,Wald,178.138125871775,178.138125871775,-0.0646660595021251,0.0269645820684072,0.93738044040761,0.889125716254719,0.988254050012246,0.0164765358317811,0.355532605188649
ebi-a-GCST90002003,CCR2 on CD14- CD16-,3,IVW,40.0868854093037,30.9552240040982,-0.132538819290039,0.0555249757626324,0.875868932836115,0.785552669149257,0.976569003754115,0.0169859070024231,0.355532605188649
ebi-a-GCST90001885,CD16-CD56 on HLA DR+ Natural Killer,2,IVW,62.1031859801205,59.384403926474,0.186503152959064,0.0806721801692368,1.20502842148499,1.02879239238766,1.41145434912921,0.0207851492110988,0.406100316903896
ebi-a-GCST90002062,CD4 on CD28+ CD4+ T cell,2,IVW,39.423392269528,37.7833828761819,-0.117821248589881,0.0509663953577528,0.888854922485874,0.804354341615311,0.982232621061953,0.0207918060004021,0.406100316903896
ebi-a-GCST90001928,CD127 on CD28+ CD45RA- CD8+ T cell,1,Wald,32.4228861004034,32.4228861004034,0.0766125543669919,0.0332997531444693,1.07962369986095,1.01140963721136,1.15243842891905,0.0214089129175036,0.406100316903896
ebi-a-GCST90002011,CD64 on CD14+ CD16+ monocyte,2,IVW,33.1219501228835,32.4197795335344,0.20323175903998,0.0890882168525274,1.22535642276989,1.02903230818186,1.45913626898298,0.0225341459402265,0.414491714718711
ebi-a-GCST90001581,CD14- CD16- Absolute Count,3,IVW,61.2342077303104,33.8884884810017,0.136920335023257,0.0604741854867898,1.1467367901217,1.01856108614973,1.29104212177345,0.0235672210361046,0.420744210850456
