Outcome,Instrument threshold,Immunophenotype,GWAS Catalog accession,Instruments,Cochran Q,Q df,Q P,Cochran Q (modified weights),Q P (modified weights)
CONDUCTIO,P<1e-5,CD8+ Natural Killer T %T cell,GCST90001631,27,31.7270191984459,26,0.202301906549766,27.7184926687989,0.372448535501772
CONDUCTIO,P<1e-5,PDL-1 on CD14+ CD16- monocyte,GCST90001993,15,10.0025550147369,14,0.761996638404336,9.51753576941545,0.796538726832186
CONDUCTIO,P<1e-5,CD64 on monocyte,GCST90002006,29,42.2029084583207,28,0.0414870418782291,37.4878629960067,0.108486184360412
CONDUCTIO,P<1e-5,IgD on IgD+ CD38- unswitched memory B cell,GCST90001823,17,13.4266486865935,16,0.641344121503053,12.6417478198179,0.698749221329475
CONDUCTIO,P<1e-5,CD20- CD38- B cell %lymphocyte,GCST90001444,23,35.8727366388158,22,0.0313333776596375,31.0946962262525,0.0941940224995009
CONDUCTIO,P<1e-5,CD3- lymphocyte %leukocyte,GCST90001641,20,11.0141713766382,19,0.923360838899268,10.4025852467545,0.942306017109976
CONDUCTIO,P<1e-5,CD4 regulatory T cell Absolute Count,GCST90001513,21,23.3896698600808,20,0.27006834731489,20.0147571363186,0.457006922785265
CONDUCTIO,P<1e-5,IgD on IgD+ CD38+ B cell,GCST90001824,25,38.2339215445356,24,0.0328066731595372,31.6196377725712,0.13670837347539
CONDUCTIO,P<1e-5,IgD on transitional B cell,GCST90001828,32,41.5924657597101,31,0.0969015883992628,36.3051281653333,0.235022787887419
CONDUCTIO,P<1e-5,CD25 on IgD- CD27- B cell,GCST90001786,21,24.2752490823655,20,0.230575466094913,21.2409218935634,0.383076056309892
CONDUCTIO,P<1e-5,CD25 on IgD- CD38- B cell,GCST90001787,22,14.8137549272709,21,0.832179742913603,13.2583625334294,0.89930507085215
CONDUCTIO,P<1e-5,CD28- CD25++ CD8+ T cell %CD8+ T cell,GCST90001677,25,25.8172371217326,24,0.362503229122465,21.141603090845,0.630358153273857
CONDUCTIO,P<1e-5,CD33+ HLA DR+ CD14dim %CD33+ HLA DR+,GCST90001521,25,27.0367687646377,24,0.302742164430455,24.2902625314434,0.445103325240286
CONDUCTIO,P<1e-5,CD45 on Monocytic Myeloid-Derived Suppressor Cells,GCST90002049,17,19.3027062394286,16,0.253278731919805,17.6670409115933,0.343751476170775
CONDUCTIO,P<1e-5,HLA DR++ monocyte %monocyte,GCST90001475,22,29.0955007712028,21,0.111727518795398,24.8090500315799,0.2555289990952
CONDUCTIO,P<1e-5,CD45 on HLA DR+ T cell,GCST90001918,18,19.4659116424732,17,0.302453556914505,17.917103853323,0.394088567875063
